,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
39,2Q,11,46,6,1,10,HOU,DAL,HOU26,run,6,0,122 Weak Run 27 Pistol,122,Weak,Pistol,1-10earn,43 Over,Regular Personnel,Cover-1,No Blitz,None,None,Normal,S Vince Shaw,,,None,None,False,2,7,50,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,74,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,2Q,11,5,6,2,4,HOU,DAL,HOU32,pass,-1,0,113 Strong Pass ZRXYA S336S Shotgun,113,Strong,Shotgun,1or2-3-5,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB The Machine LeGrande,,,None,None,False,,,51,S336S,ZRXYA,S,3,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,68,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
41,2Q,10,18,6,3,10,HOU,DAL,HOU26,run,-2,0,113t Weak Cntr. 22 Normal,113t,Weak,Normal,3or4-10-12,43 Over,Nickel Personnel,Press-2,No Blitz,None,None,3long,DT Dale Patton,,,None,None,False,2,2,53,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,74,NORMAL,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
42,2Q,9,27,7,1,10,DAL,HOU,DAL21,pass,0,0,113t Strong Pass RZXYA 6FF42 Shotgun,113t,Strong,Shotgun,1-10poss,43 Under,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,,,MLB B.Stone,None,None,False,,,55,6FF42,RZXYA,6,F,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,79,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
43,2Q,9,21,7,2,10,DAL,HOU,DAL21,pass,10,3,131 Strong Pass ZATY 2S19 Shotgun,131,Strong,Shotgun,1or2-10-12,43 Under,Regular Personnel,Press-1,No Blitz,None,None,Normal,DT Les Seaman,OLB Geoff Monroe,,None,None,False,,,56,2S19,ZATY,2,S,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,79,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
44,2Q,8,54,7,1,10,DAL,HOU,DAL31,run,4,0,113 Weak Run 22 Normal,113,Weak,Normal,1-10earn,43 Under,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,OLB Geoff Monroe,,,None,None,False,2,2,57,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,69,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,2Q,8,23,7,2,6,DAL,HOU,DAL35,run,2,0,113t I Run 21 Normal,113t,I,Normal,1or2-6-9,43 Under,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,DE Eduardo Bidwell,S Wesley O'Neill,, DT Les Seaman,Offsides,False,2,1,58,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,65,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,2Q,8,13,7,2,1,DAL,HOU,DAL40,run,-2,0,212 Weak Run 26 Normal,212,Weak,Normal,1or2-1-2,43 Under,Regular Personnel,Cover-2,No Blitz,None,None,Normal,DT Les Seaman,DT Monty Rounds,,None,None,False,2,6,59,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,60,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
47,2Q,7,30,7,3,3,DAL,HOU,DAL38,run,5,0,212 Pro Run 23 Shotgun,212,Pro,Shotgun,3or4-3,43 Under,Regular Personnel,Cover-4,No Blitz,None,None,3long,DE Eduardo Bidwell,,,None,None,False,2,3,60,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,62,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,2Q,6,52,7,1,10,DAL,HOU,DAL43,pass,0,0,113t Pro Pass ZXYAR 11812 Normal,113t,Pro,Normal,1-10earn,43 Under,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,,,,None,None,False,,,61,11812,ZXYAR,1,1,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,57,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
